"","Torque","Speed","Angle"
"188",-9.575,14.841,-42.55
"189",-9.575,14.841,-42.492
"190",-9.575,15.622,-42.431
"191",-9.575,14.841,-42.373
"192",-9.819,14.841,-42.315
"193",-9.575,15.231,-42.256
"194",-9.086,14.841,-42.198
"195",-9.086,14.841,-42.14
"196",-9.33,15.231,-42.08
"197",-9.086,14.841,-42.022
"198",-9.575,14.841,-41.964
"199",-9.086,15.231,-41.905
"200",-9.575,14.841,-41.847
"201",-9.33,15.231,-41.787
"202",-9.575,14.841,-41.729
"203",-9.086,14.841,-41.671
"204",-9.086,14.841,-41.613
"205",-8.842,15.231,-41.554
"206",-9.33,15.231,-41.494
"207",-8.842,14.841,-41.436
"208",-8.842,14.841,-41.378
"209",-9.086,15.231,-41.319
"210",-9.086,14.841,-41.261
"211",-9.086,14.841,-41.203
"212",-9.086,15.231,-41.144
"213",-8.598,14.841,-41.086
"214",-8.598,15.231,-41.026
"215",-8.842,14.841,-40.968
"216",-8.842,14.841,-40.91
"217",-8.842,15.231,-40.851
"218",-8.842,14.841,-40.793
"219",-8.354,14.841,-40.735
"220",-8.842,14.841,-40.677
"221",-8.842,14.841,-40.619
"222",-8.354,15.622,-40.558
"223",-8.842,14.841,-40.5
"224",-8.842,14.841,-40.442
"225",-8.598,15.231,-40.382
"226",-8.598,14.841,-40.324
"227",-8.354,14.841,-40.266
"228",-8.354,14.841,-40.208
"229",-9.086,14.841,-40.15
"230",-8.842,15.231,-40.091
"231",-9.086,15.231,-40.031
"232",-8.842,14.841,-39.973
"233",-8.598,14.841,-39.915
"234",-8.598,15.231,-39.856
"235",-9.086,14.45,-39.8
"236",-8.842,15.231,-39.74
"237",-9.086,14.841,-39.682
"238",-8.842,15.231,-39.623
"239",-8.842,15.231,-39.563
"240",-8.842,14.841,-39.505
"241",-8.842,15.231,-39.446
"242",-8.842,14.841,-39.388
"243",-9.33,14.841,-39.33
"244",-8.598,14.841,-39.272
"245",-8.842,15.231,-39.212
"246",-9.33,14.841,-39.154
"247",-8.842,15.231,-39.095
"248",-9.086,14.841,-39.037
"249",-9.086,15.231,-38.977
"250",-9.086,14.841,-38.919
"251",-9.086,14.841,-38.861
"252",-8.598,14.841,-38.803
"253",-8.842,14.841,-38.745
"254",-9.33,15.231,-38.686
"255",-9.086,15.231,-38.626
"256",-9.086,14.841,-38.568
"257",-8.842,15.231,-38.509
"258",-8.842,14.841,-38.451
"259",-9.33,14.45,-38.395
"260",-9.33,15.231,-38.335
"261",-9.33,14.841,-38.277
"262",-8.842,15.231,-38.218
"263",-8.842,15.231,-38.158
"264",-9.33,14.841,-38.1
"265",-9.086,15.231,-38.041
"266",-9.086,14.841,-37.983
"267",-9.086,14.841,-37.925
"268",-9.575,14.841,-37.867
"269",-9.33,15.231,-37.807
"270",-9.33,14.841,-37.749
"271",-9.575,14.841,-37.691
"272",-9.575,15.231,-37.632
"273",-9.575,15.231,-37.572
"274",-9.33,14.841,-37.514
"275",-9.575,14.841,-37.456
"276",-9.33,14.841,-37.398
"277",-9.575,15.231,-37.339
"278",-10.063,14.841,-37.281
"279",-9.575,15.231,-37.221
"280",-10.063,14.841,-37.163
"281",-9.819,15.231,-37.104
"282",-10.063,14.841,-37.046
"283",-9.819,14.841,-36.988
"284",-10.063,15.231,-36.928
"285",-9.819,14.841,-36.87
"286",-10.063,15.231,-36.811
"287",-10.063,14.841,-36.753
"288",-10.795,14.841,-36.695
"289",-10.551,14.841,-36.637
"290",-10.551,15.231,-36.578
"291",-10.307,14.841,-36.52
"292",-10.551,15.231,-36.46
"293",-10.307,14.841,-36.402
"294",-10.551,14.841,-36.344
"295",-10.063,15.231,-36.285
"296",-10.063,14.841,-36.227
"297",-10.551,14.841,-36.169
"298",-10.551,15.231,-36.109
"299",-10.551,14.841,-36.051
"300",-10.551,15.231,-35.992
"301",-10.551,14.841,-35.934
"302",-10.063,14.841,-35.876
"303",-10.063,15.231,-35.816
"304",-10.063,14.841,-35.758
"305",-10.551,14.841,-35.7
"306",-10.551,15.231,-35.641
"307",-10.307,15.231,-35.581
"308",-10.063,14.841,-35.523
"309",-10.307,14.841,-35.465
"310",-9.819,14.841,-35.407
"311",-9.819,14.841,-35.35
"312",-9.575,15.231,-35.29
"313",-9.575,14.841,-35.232
"314",-9.575,15.231,-35.173
"315",-9.819,14.841,-35.115
"316",-9.819,14.841,-35.057
"317",-9.819,15.231,-34.997
"318",-9.33,15.231,-34.938
"319",-9.575,14.841,-34.88
"320",-9.33,14.841,-34.822
"321",-9.575,14.841,-34.764
"322",-9.33,15.231,-34.704
"323",-9.575,14.841,-34.646
"324",-9.33,15.231,-34.587
"325",-9.33,14.45,-34.53
"326",-9.086,15.231,-34.471
"327",-9.33,15.231,-34.411
"328",-9.33,14.841,-34.353
"329",-9.33,15.231,-34.294
"330",-9.086,14.841,-34.236
"331",-9.086,14.841,-34.178
"332",-8.842,14.841,-34.12
"333",-8.842,14.841,-34.062
"334",-8.842,15.231,-34.002
"335",-8.598,15.231,-33.943
"336",-8.842,14.841,-33.885
"337",-9.086,15.231,-33.825
"338",-9.086,14.45,-33.769
"339",-9.086,15.231,-33.71
"340",-8.354,15.231,-33.65
"341",-8.598,14.45,-33.594
"342",-8.598,15.231,-33.534
"343",-8.598,15.231,-33.475
"344",-8.598,14.841,-33.417
"345",-8.598,15.231,-33.357
"346",-9.086,14.841,-33.299
"347",-9.086,14.841,-33.241
"348",-9.086,14.841,-33.183
"349",-9.086,15.231,-33.124
